customerID,tenure,MonthlyCharges,TotalCharges,RFM_Score,Segment,CLV_Enhanced,CLV_Tier,Churn
3643-AHCFP,7,95.6,644.35,8,Loyal Customers,429.57,Medium Value,Yes
9146-JRIOX,14,25.55,372.45,5,Inactive,155.19,Low Value,No
3104-OWCGK,60,90.95,5453.4,11,Champions,4998.95,Premium,Yes
5337-IIWKZ,34,44.85,1442.6,7,At Risk,841.52,High Value,No
9101-BWFSS,50,108.55,5610.7,11,Champions,5143.14,Premium,Yes
9650-VBUOG,38,25.05,963.95,6,At Risk,481.98,Medium Value,No
3487-EARAT,70,74.1,5222.3,11,Champions,4787.11,Premium,No
2672-TGEFF,37,88.8,3340.55,9,Loyal Customers,2505.41,High Value,No
9231-ZJYAM,4,78.85,292.8,6,At Risk,146.4,Low Value,Yes
4250-WAROZ,60,93.25,5774.55,11,Champions,5293.34,Premium,No
8184-WMOFI,62,71.4,4487.3,10,Champions,3739.42,Premium,No
6982-SSHFK,1,44.4,44.4,4,Inactive,14.8,Low Value,Yes
6092-QZVPP,36,79.2,2854.95,10,Champions,2379.12,High Value,No
4625-LAMOB,44,20.4,905.55,5,Inactive,377.31,Medium Value,No
0727-BMPLR,55,100.0,5509.3,10,Champions,4591.08,Premium,Yes
0392-BZIUW,72,105.0,7589.8,12,Champions,7589.8,Premium,No
1038-ZAGBI,12,19.8,229.6,4,Inactive,76.53,Low Value,Yes
6549-NNDYT,13,30.85,394.1,4,Inactive,131.37,Low Value,No
3027-ZTDHO,1,89.9,89.9,7,At Risk,52.44,Low Value,Yes
0422-OHQHQ,15,20.55,295.95,4,Inactive,98.65,Low Value,No
6916-HIJSE,65,84.85,5459.2,11,Champions,5004.27,Premium,No
2316-ESMLS,12,33.15,444.75,5,Inactive,185.31,Medium Value,No
9778-OGKQZ,72,92.0,6782.15,12,Champions,6782.15,Premium,No
7408-OFWXJ,72,89.8,6510.45,11,Champions,5967.91,Premium,No
6007-TCTST,72,115.8,8476.5,12,Champions,8476.5,Premium,No
2252-NKNSI,52,85.15,4461.85,10,Champions,3718.21,Premium,No
8713-IGZSO,2,24.85,62.0,4,Inactive,20.67,Low Value,No
7905-TVXTA,5,64.35,352.65,6,At Risk,176.32,Medium Value,No
7695-PKLCZ,68,20.5,1424.9,6,At Risk,712.45,Medium Value,No
2382-BCKQJ,62,100.15,6413.65,11,Champions,5879.18,Premium,Yes
8374-UULRV,72,86.05,6309.65,11,Champions,5783.85,Premium,No
2207-NHRJK,1,50.8,50.8,5,Inactive,21.17,Low Value,Yes
3224-DFQNQ,66,89.0,5898.6,10,Champions,4915.5,Premium,No
5275-PMFUT,72,64.8,4719.75,10,Champions,3933.12,Premium,No
4795-UXVCJ,26,19.8,457.3,4,Inactive,152.43,Low Value,No
9777-IQHWP,64,93.4,5822.3,11,Champions,5337.11,Premium,No
0947-MUGVO,20,73.65,1463.5,7,At Risk,853.71,High Value,Yes
9944-HKVVB,3,95.1,307.4,8,Loyal Customers,204.93,Medium Value,Yes
4124-MMETB,22,94.65,2104.55,9,Loyal Customers,1578.41,High Value,Yes
3671-SHRSP,4,80.6,319.15,6,At Risk,159.57,Low Value,Yes
0979-MOZQI,62,39.0,2337.45,8,Loyal Customers,1558.3,High Value,No
2732-ISEZX,5,20.5,104.3,3,Inactive,26.08,Low Value,No
3313-QKNKB,59,85.55,5084.65,9,Loyal Customers,3813.49,Premium,Yes
0323-XWWTN,3,26.4,121.25,4,Inactive,40.42,Low Value,No
1937-OTUKY,72,98.2,7015.9,12,Champions,7015.9,Premium,No
1573-LGXBA,57,97.55,5598.0,11,Champions,5131.5,Premium,No
1764-VUUMT,66,19.95,1269.1,6,At Risk,634.55,Medium Value,No
5073-WXOYN,60,50.8,3027.4,8,Loyal Customers,2018.27,High Value,Yes
4713-ZBURT,45,99.7,4634.35,10,Champions,3861.96,Premium,No
3050-GBUSH,3,34.8,113.95,3,Inactive,28.49,Low Value,No
0207-MDKNV,15,105.1,1582.75,10,Champions,1318.96,High Value,Yes
7876-AEHIG,51,60.15,3077.0,8,Loyal Customers,2051.33,High Value,No
7945-HLKEA,60,64.75,4039.5,9,Loyal Customers,3029.62,Premium,No
9342-VNIMQ,33,54.65,1665.2,7,At Risk,971.37,High Value,No
9851-KIELU,10,110.1,1043.3,10,Champions,869.42,High Value,Yes
3523-BRGUW,26,19.3,504.2,4,Inactive,168.07,Medium Value,No
3908-BLSYF,6,83.9,497.55,6,At Risk,248.78,Medium Value,Yes
3199-NPKCN,67,111.25,7511.65,12,Champions,7511.65,Premium,No
5170-PTRKA,49,35.8,1782.0,7,At Risk,1039.5,High Value,No
4661-NJEUX,1,20.05,20.05,3,Inactive,5.01,Low Value,No
2123-AGEEN,7,84.35,609.65,6,At Risk,304.82,Medium Value,No
1258-YMZNM,27,110.5,2857.6,10,Champions,2381.33,High Value,No
0048-LUMLS,37,91.2,3247.55,9,Loyal Customers,2435.66,High Value,No
7549-MYGPK,63,100.55,6215.35,12,Champions,6215.35,Premium,Yes
5898-IGSLP,31,89.3,2823.0,9,Loyal Customers,2117.25,High Value,No
3804-RVTGV,50,103.85,5017.9,11,Champions,4599.74,Premium,Yes
6259-WJQLC,32,81.1,2619.25,8,Loyal Customers,1746.17,High Value,No
9227-LUNBG,1,24.6,24.6,3,Inactive,6.15,Low Value,Yes
7997-EASSD,63,81.2,4965.1,9,Loyal Customers,3723.82,Premium,No
0730-KOAVE,30,94.3,2679.7,10,Champions,2233.08,High Value,No
8975-SKGRX,71,116.1,8310.55,12,Champions,8310.55,Premium,No
0678-RLHVP,53,105.55,5682.25,11,Champions,5208.73,Premium,No
4315-MURBD,12,98.9,1120.95,9,Loyal Customers,840.71,High Value,Yes
2267-FPIMA,50,94.4,4914.9,10,Champions,4095.75,Premium,No
1051-GEJLJ,2,19.5,27.55,3,Inactive,6.89,Low Value,No
9734-YWGEX,9,98.3,923.5,8,Loyal Customers,615.67,Medium Value,Yes
2719-BDAQO,17,93.85,1625.65,9,Loyal Customers,1219.24,High Value,Yes
5285-MVEHD,56,105.6,6068.65,12,Champions,6068.65,Premium,No
0379-DJQHR,67,81.35,5398.6,11,Champions,4948.72,Premium,No
0781-LKXBR,9,100.5,918.6,8,Loyal Customers,612.4,Medium Value,Yes
5543-QDCRY,4,56.4,234.85,5,Inactive,97.85,Low Value,No
0297-RBCSG,19,65.35,1231.85,7,At Risk,718.58,Medium Value,No
4694-PHWFW,8,19.95,170.9,3,Inactive,42.72,Low Value,No
0835-JKADZ,71,111.25,7984.15,12,Champions,7984.15,Premium,No
1907-UBQFC,10,72.85,688.65,7,At Risk,401.71,Medium Value,Yes
7508-SMHXL,15,89.0,1288.3,8,Loyal Customers,858.87,High Value,No
3865-YIOTT,72,106.1,7848.5,12,Champions,7848.5,Premium,No
5993-BQHEA,12,20.05,267.0,4,Inactive,89.0,Low Value,No
6024-RUGGH,72,25.2,1798.9,7,At Risk,1049.36,High Value,No
6513-EECDB,1,73.55,73.55,6,At Risk,36.78,Low Value,Yes
3956-CJUST,23,75.4,1643.55,7,At Risk,958.74,High Value,No
4079-WWQQQ,72,65.55,4807.45,10,Champions,4006.21,Premium,No
6103-BOCOU,26,80.7,2193.0,7,At Risk,1279.25,High Value,No
5149-TGWDZ,21,104.55,2239.4,10,Champions,1866.17,High Value,No
7471-WNSUF,60,24.15,1505.9,7,At Risk,878.44,High Value,No
8942-DBMHZ,12,20.45,255.35,4,Inactive,85.12,Low Value,No
4301-VVZKA,16,75.4,1189.4,7,At Risk,693.82,Medium Value,No
9199-PWQVC,63,79.7,4786.15,11,Champions,4387.3,Premium,No
4824-GUCBY,22,81.7,1820.9,7,At Risk,1062.19,High Value,No
5393-HJZSM,32,76.3,2404.15,10,Champions,2003.46,High Value,No
7074-IEVOJ,3,79.4,205.05,6,At Risk,102.52,Low Value,Yes
9625-QSTYE,13,81.15,952.3,7,At Risk,555.51,Medium Value,Yes
0862-PRCBS,68,103.75,7039.45,12,Champions,7039.45,Premium,No
8812-ZRHFP,30,86.45,2538.05,8,Loyal Customers,1692.03,High Value,No
5146-CBVOE,16,75.1,1212.85,7,At Risk,707.5,Medium Value,No
0454-OKRCT,33,80.6,2651.1,8,Loyal Customers,1767.4,High Value,No
5787-KXGIY,72,19.3,1304.8,6,At Risk,652.4,Medium Value,No
4750-ZRXIU,4,84.6,360.1,6,At Risk,180.05,Medium Value,Yes
4198-VFOEA,12,33.6,435.45,5,Inactive,181.44,Medium Value,No
6630-UJZMY,4,83.25,308.05,6,At Risk,154.02,Low Value,No
6400-BWQKW,6,79.05,434.5,6,At Risk,217.25,Medium Value,Yes
2692-AQCPF,65,108.05,7118.9,12,Champions,7118.9,Premium,No
0347-UBKUZ,15,19.9,320.45,4,Inactive,106.82,Low Value,No
0835-DUUIQ,24,21.05,531.55,4,Inactive,177.18,Medium Value,No
0811-GSDTP,13,30.15,382.2,4,Inactive,127.4,Low Value,No
7567-ECMCM,24,79.85,2001.0,7,At Risk,1167.25,High Value,No
6115-ZTBFQ,72,65.5,4919.7,10,Champions,4099.75,Premium,No
6353-BRMMA,54,104.1,5645.8,11,Champions,5175.32,Premium,No
6680-WKXRZ,3,74.4,215.8,6,At Risk,107.9,Low Value,Yes
6231-WFGFH,4,20.5,77.6,3,Inactive,19.4,Low Value,No
9904-EHEVJ,32,91.35,2896.55,10,Champions,2413.79,High Value,No
7028-DVOIQ,35,99.05,3395.8,10,Champions,2829.83,High Value,Yes
6169-PPETC,35,20.5,759.35,5,Inactive,316.4,Medium Value,No
4208-UFFGW,2,44.95,85.15,4,Inactive,28.38,Low Value,Yes
8584-KMVXD,8,75.6,535.55,6,At Risk,267.77,Medium Value,No
8467-WYNSR,22,55.1,1253.15,6,At Risk,626.58,Medium Value,No
0851-DFJKB,15,58.95,955.15,7,At Risk,557.17,Medium Value,No
5382-SOYZL,22,95.1,2162.6,9,Loyal Customers,1621.95,High Value,No
9448-REEVD,1,44.7,44.7,4,Inactive,14.9,Low Value,Yes
3261-CQXOL,71,25.45,1813.35,7,At Risk,1057.79,High Value,No
8388-FYNPZ,4,56.75,245.15,5,Inactive,102.15,Low Value,No
4002-BQWPQ,25,81.75,2028.8,9,Loyal Customers,1521.6,High Value,No
5651-YLPRD,32,86.1,2723.75,8,Loyal Customers,1815.83,High Value,No
2826-DXLQO,7,29.8,220.45,3,Inactive,55.11,Low Value,No
4378-BZYFP,17,20.5,365.8,4,Inactive,121.93,Low Value,No
9489-UTFKA,8,60.9,551.95,5,Inactive,229.98,Medium Value,No
4849-PYRLQ,56,73.25,4054.2,11,Champions,3716.35,Premium,No
9117-SHLZX,1,45.7,45.7,4,Inactive,15.23,Low Value,Yes
9889-TMAHG,8,100.3,832.35,8,Loyal Customers,554.9,Medium Value,Yes
4541-RMRLG,7,19.25,112.3,3,Inactive,28.08,Low Value,Yes
7764-BDPEE,3,20.85,60.65,3,Inactive,15.16,Low Value,No
3429-IFLEM,71,77.35,5550.1,11,Champions,5087.59,Premium,No
3158-MOERK,2,96.0,174.8,8,Loyal Customers,116.53,Low Value,Yes
7294-TMAOP,1,90.55,90.55,7,At Risk,52.82,Low Value,Yes
5002-GCQFH,49,93.85,4733.1,10,Champions,3944.25,Premium,No
0556-FJEGU,58,70.1,4048.95,9,Loyal Customers,3036.71,Premium,No
8919-FYFQZ,44,30.35,1359.7,5,Inactive,566.54,Medium Value,Yes
0604-THJFP,59,75.95,4542.35,10,Champions,3785.29,Premium,No
2834-JRTUA,71,108.05,7532.15,12,Champions,7532.15,Premium,Yes
5875-YPQFJ,1,69.9,69.9,4,Inactive,23.3,Low Value,Yes
5879-SESNB,11,75.25,888.65,7,At Risk,518.38,Medium Value,No
6646-QVXLR,62,103.75,6383.35,12,Champions,6383.35,Premium,Yes
6461-PPAXN,35,54.95,1916.0,7,At Risk,1117.67,High Value,No
3318-ISQFQ,20,19.5,413.0,4,Inactive,137.67,Low Value,No
1106-HRLKZ,40,19.6,808.95,5,Inactive,337.06,Medium Value,No
2483-XSSMZ,39,47.85,1886.4,7,At Risk,1100.4,High Value,No
8603-IJWDN,1,86.6,86.6,6,At Risk,43.3,Low Value,Yes
8165-ZJRNM,72,23.75,1679.25,7,At Risk,979.56,High Value,No
9369-XFEHK,33,80.6,2656.5,8,Loyal Customers,1771.0,High Value,Yes
2604-XVDAM,12,43.8,540.95,5,Inactive,225.4,Medium Value,No
3717-OFRTN,1,19.75,19.75,3,Inactive,4.94,Low Value,No
9046-JBFWA,27,19.15,537.35,4,Inactive,179.12,Medium Value,No
3280-NMUVX,34,19.6,678.8,5,Inactive,282.83,Medium Value,No
1206-EHBDD,56,80.3,4513.65,9,Loyal Customers,3385.24,Premium,No
8361-LBRDI,58,24.35,1423.85,7,At Risk,830.58,High Value,No
4883-KCPZJ,22,25.25,555.4,5,Inactive,231.42,Medium Value,No
9108-EQPNQ,10,26.1,225.55,5,Inactive,93.98,Low Value,No
7277-KAMWT,13,20.0,268.45,4,Inactive,89.48,Low Value,No
3842-IYKUE,35,85.3,2917.5,9,Loyal Customers,2188.12,High Value,Yes
6641-XRPSU,34,70.0,2416.1,6,At Risk,1208.05,High Value,Yes
1374-DMZUI,4,94.3,424.45,8,Loyal Customers,282.97,Medium Value,Yes
2545-LXYVJ,72,20.7,1492.1,6,At Risk,746.05,Medium Value,No
3234-VKACU,2,70.3,132.4,6,At Risk,66.2,Low Value,No
8357-EQXFO,7,95.35,660.9,8,Loyal Customers,440.6,Medium Value,Yes
1989-PRJHP,27,75.5,1893.95,7,At Risk,1104.8,High Value,Yes
8120-JDCAM,4,69.55,284.9,4,Inactive,94.97,Low Value,No
8917-FAEMR,37,19.85,784.25,5,Inactive,326.77,Medium Value,No
7047-YXDMZ,21,20.0,417.7,4,Inactive,139.23,Low Value,No
2858-EIMXH,53,95.85,5016.25,10,Champions,4180.21,Premium,No
9524-EGPJC,18,90.1,1612.75,9,Loyal Customers,1209.56,High Value,Yes
6993-OHLXR,2,68.95,119.75,4,Inactive,39.92,Low Value,Yes
8818-XYFCQ,32,99.55,3204.65,10,Champions,2670.54,High Value,Yes
6419-ZTTLE,23,20.75,485.2,4,Inactive,161.73,Low Value,No
0929-HYQEW,3,50.15,160.85,5,Inactive,67.02,Low Value,No
6614-YOLAC,71,58.65,4145.25,9,Loyal Customers,3108.94,Premium,No
7426-RHZGU,9,95.9,827.45,8,Loyal Customers,551.63,Medium Value,No
4065-JJAVA,1,49.5,49.5,5,Inactive,20.62,Low Value,No
4695-VADHF,18,57.45,990.85,6,At Risk,495.42,Medium Value,Yes
3863-IUBJR,12,53.65,696.35,6,At Risk,348.18,Medium Value,Yes
7649-SIJJF,71,80.1,5585.4,11,Champions,5119.95,Premium,No
9361-YNQWJ,64,24.4,1601.2,7,At Risk,934.03,High Value,No
3748-FVMZZ,4,40.05,162.45,5,Inactive,67.69,Low Value,No
9391-TTOYH,23,19.5,470.2,4,Inactive,156.73,Low Value,No
1452-XRSJV,39,51.05,2066.0,7,At Risk,1205.17,High Value,No
3422-WJOYD,28,54.35,1426.45,6,At Risk,713.22,Medium Value,No
8242-SOQUO,5,84.7,392.5,6,At Risk,196.25,Medium Value,No
7460-ITWWP,45,86.1,3861.45,8,Loyal Customers,2574.3,High Value,No
7147-AYBAA,37,70.35,2552.9,6,At Risk,1276.45,High Value,No
7868-TMWMZ,60,110.0,6668.35,12,Champions,6668.35,Premium,No
4822-RVYBB,8,100.6,819.4,8,Loyal Customers,546.27,Medium Value,Yes
6732-FZUGP,47,94.9,4615.25,10,Champions,3846.04,Premium,No
8436-BJUMM,26,83.75,2070.6,7,At Risk,1207.85,High Value,Yes
4184-TJFAN,3,88.3,273.75,7,At Risk,159.69,Low Value,Yes
8329-GWVPJ,50,69.75,3557.7,6,At Risk,1778.85,High Value,No
1352-VHKAJ,27,71.6,1957.1,8,Loyal Customers,1304.73,High Value,No
4145-UQXUQ,8,92.1,729.95,8,Loyal Customers,486.63,Medium Value,Yes
2632-TACXW,62,23.65,1416.75,7,At Risk,826.44,High Value,No
8146-QQKZH,71,81.85,5924.4,11,Champions,5430.7,Premium,No
1767-CJKBA,66,25.1,1697.7,7,At Risk,990.32,High Value,No
6445-TNRXS,68,114.7,7849.85,12,Champions,7849.85,Premium,No
4581-LNWUM,13,49.15,649.4,6,At Risk,324.7,Medium Value,No
4869-EPIUS,56,80.9,4557.5,9,Loyal Customers,3418.12,Premium,No
9948-YPTDG,38,79.45,3013.05,8,Loyal Customers,2008.7,High Value,Yes
1236-WFCDV,14,90.45,1266.1,8,Loyal Customers,844.07,High Value,Yes
1915-OAKWD,16,19.3,360.35,4,Inactive,120.12,Low Value,No
7296-PIXQY,14,70.2,1046.5,5,Inactive,436.04,Medium Value,No
4883-QICIH,32,69.75,2347.9,6,At Risk,1173.95,High Value,Yes
3354-OADJP,8,54.25,447.75,5,Inactive,186.56,Medium Value,No
3524-WQDSG,43,99.3,4209.95,10,Champions,3508.29,Premium,No
0810-DHDBD,52,74.0,3877.65,10,Champions,3231.38,Premium,No
4026-SKKHW,3,50.25,152.3,5,Inactive,63.46,Low Value,No
2829-HYVZP,29,19.8,572.2,4,Inactive,190.73,Medium Value,No
8329-IBCTI,1,19.65,19.65,3,Inactive,4.91,Low Value,Yes
1271-SJBGZ,12,43.65,526.95,6,At Risk,263.48,Medium Value,Yes
3845-JHAMY,16,35.5,552.7,4,Inactive,184.23,Medium Value,No
7013-PSXHK,40,80.75,3208.65,10,Champions,2673.88,High Value,No
5669-SRAIP,5,39.5,210.75,5,Inactive,87.81,Low Value,Yes
5981-ITEMU,40,97.1,3706.95,10,Champions,3089.12,Premium,Yes
3486-NPGST,36,19.55,620.75,5,Inactive,258.65,Medium Value,No
6941-PMGEP,5,80.0,412.5,6,At Risk,206.25,Medium Value,Yes
1624-WOIWJ,10,84.7,832.05,7,At Risk,485.36,Medium Value,Yes
2074-GKOWZ,2,89.55,185.55,6,At Risk,92.78,Low Value,Yes
0376-YMCJC,23,90.6,1943.2,9,Loyal Customers,1457.4,High Value,Yes
6100-FJZDG,26,20.05,505.9,4,Inactive,168.63,Medium Value,No
4829-ZLJTK,72,112.4,8046.85,12,Champions,8046.85,Premium,No
1730-VFMWO,34,50.2,1815.3,7,At Risk,1058.92,High Value,No
7143-BQIBA,10,62.25,612.95,7,At Risk,357.55,Medium Value,No
3800-LYTRK,14,55.7,795.15,6,At Risk,397.58,Medium Value,No
0634-SZPQA,23,90.05,2169.8,9,Loyal Customers,1627.35,High Value,Yes
9646-NMHXE,47,19.65,973.1,5,Inactive,405.46,Medium Value,No
7030-NJVDP,24,89.25,2210.2,8,Loyal Customers,1473.47,High Value,No
5536-RTPWK,49,99.05,4853.75,10,Champions,4044.79,Premium,Yes
8883-GRDWQ,20,54.0,1055.9,6,At Risk,527.95,Medium Value,No
6166-ILMNY,2,69.75,144.55,4,Inactive,48.18,Low Value,Yes
3097-NNSPB,2,49.05,91.1,5,Inactive,37.96,Low Value,Yes
7771-ZONAT,22,56.75,1304.85,7,At Risk,761.16,Medium Value,No
0655-RBDUG,7,98.05,713.0,8,Loyal Customers,475.33,Medium Value,Yes
2111-DWYHN,1,21.1,21.1,3,Inactive,5.28,Low Value,No
4194-WHFCB,59,96.65,5580.8,11,Champions,5115.73,Premium,No
4121-AGSIN,58,24.5,1497.9,7,At Risk,873.78,High Value,No
4361-BKAXE,41,114.5,4527.45,11,Champions,4150.16,Premium,Yes
9845-PEEKO,59,79.2,4590.35,9,Loyal Customers,3442.76,Premium,No
0455-XFASS,3,69.55,200.2,4,Inactive,66.73,Low Value,No
0301-KOBTQ,32,20.05,614.45,5,Inactive,256.02,Medium Value,No
1751-NCDLI,46,98.85,4564.9,10,Champions,3804.08,Premium,No
9878-TNQGW,2,80.95,171.15,6,At Risk,85.58,Low Value,Yes
9170-ARBTB,52,19.6,1012.4,5,Inactive,421.83,Medium Value,No
4441-NIHPT,13,74.3,940.35,7,At Risk,548.54,Medium Value,Yes
8999-BOHSE,11,89.7,1047.7,7,At Risk,611.16,Medium Value,Yes
7241-AJHFS,32,87.65,2766.4,9,Loyal Customers,2074.8,High Value,No
7029-RPUAV,17,100.45,1622.45,9,Loyal Customers,1216.84,High Value,Yes
4546-FOKWR,16,74.75,1129.35,7,At Risk,658.79,Medium Value,No
9036-CSKBW,51,107.45,5680.9,11,Champions,5207.49,Premium,No
5832-TRLPB,29,75.35,2243.9,8,Loyal Customers,1495.93,High Value,No
8590-YFFQO,70,64.95,4523.25,9,Loyal Customers,3392.44,Premium,No
8659-IOOPU,71,100.45,7159.7,12,Champions,7159.7,Premium,No
1338-CECEE,41,68.5,2839.95,8,Loyal Customers,1893.3,High Value,No
7439-DKZTW,1,80.55,80.55,6,At Risk,40.28,Low Value,No
4646-QZXTF,7,81.25,580.1,8,Loyal Customers,386.73,Medium Value,No
4607-CHPCA,25,90.4,2178.6,8,Loyal Customers,1452.4,High Value,Yes
9742-XOKTS,67,89.55,6038.55,10,Champions,5032.12,Premium,No
6921-OZMFH,5,55.7,259.4,5,Inactive,108.08,Low Value,No
9578-FOMUK,15,24.8,324.15,5,Inactive,135.06,Low Value,No
4712-UYOOI,20,20.0,417.65,4,Inactive,139.22,Low Value,No
8824-RWFXJ,3,56.15,168.15,5,Inactive,70.06,Low Value,Yes
7722-CVFXN,54,105.2,5637.85,11,Champions,5168.03,Premium,No
8717-VCTXJ,42,19.55,839.4,5,Inactive,349.75,Medium Value,No
7363-QTBIW,9,79.75,769.1,6,At Risk,384.55,Medium Value,No
4159-NAAIX,63,97.45,6253.0,11,Champions,5731.92,Premium,No
0971-QIFJK,69,24.25,1641.8,7,At Risk,957.72,High Value,No
9397-TZSHA,69,24.6,1678.05,7,At Risk,978.86,High Value,No
3391-JSQEW,40,50.15,2058.5,7,At Risk,1200.79,High Value,No
0343-QLUZP,60,39.6,2424.5,8,Loyal Customers,1616.33,High Value,No
9763-PDTKK,4,94.4,387.2,8,Loyal Customers,258.13,Medium Value,Yes
2176-LVPNX,71,89.85,6293.45,11,Champions,5769.0,Premium,No
7627-JKIAZ,37,78.95,2839.65,8,Loyal Customers,1893.1,High Value,Yes
3312-UUMZW,32,98.85,3145.9,10,Champions,2621.58,High Value,No
1271-UODNO,39,53.85,2200.7,7,At Risk,1283.74,High Value,No
8461-EFQYM,38,24.25,914.4,6,At Risk,457.2,Medium Value,No
6900-RBKER,52,89.45,4577.75,9,Loyal Customers,3433.31,Premium,No
6891-JPYFF,48,105.25,4997.5,11,Champions,4581.04,Premium,No
1459-QNFQT,70,59.5,4144.8,9,Loyal Customers,3108.6,Premium,No
1047-NNCBF,20,70.55,1493.55,6,At Risk,746.78,Medium Value,No
3696-XRIEN,50,82.5,4179.1,10,Champions,3482.58,Premium,No
4081-DYXAV,19,44.85,893.55,6,At Risk,446.78,Medium Value,Yes
0074-HDKDG,25,61.6,1611.0,7,At Risk,939.75,High Value,No
8791-GFXLZ,12,49.05,593.05,6,At Risk,296.52,Medium Value,No
8111-SLLHI,39,105.65,4284.8,11,Champions,3927.73,Premium,Yes
0927-LCSMG,7,74.65,544.55,6,At Risk,272.27,Medium Value,Yes
9330-DHBFL,23,66.25,1533.8,7,At Risk,894.72,High Value,No
0098-BOWSO,27,19.4,529.8,4,Inactive,176.6,Medium Value,No
3452-ABWRL,47,86.05,3865.6,8,Loyal Customers,2577.07,High Value,No
5859-HZYLF,26,19.15,515.75,4,Inactive,171.92,Medium Value,No
8257-RZAHR,14,64.7,941.0,7,At Risk,548.92,Medium Value,Yes
5293-WXJAK,11,104.05,1133.65,10,Champions,944.71,High Value,Yes
3156-QLHBO,2,19.25,48.35,3,Inactive,12.09,Low Value,No
2208-NQBCT,26,81.95,2070.05,7,At Risk,1207.53,High Value,No
1779-PWPMG,72,114.65,8333.95,12,Champions,8333.95,Premium,No
6621-NRZAK,63,20.0,1209.25,6,At Risk,604.62,Medium Value,No
0831-JNISG,71,19.8,1396.25,6,At Risk,698.12,Medium Value,No
0774-IFUVM,11,65.15,723.35,7,At Risk,421.95,Medium Value,No
3082-WQRVY,14,19.65,228.65,4,Inactive,76.22,Low Value,No
9553-DLCLU,13,88.95,1161.75,9,Loyal Customers,871.31,High Value,No
1641-BYBTK,6,20.2,98.35,3,Inactive,24.59,Low Value,No
2460-NGXBJ,11,75.2,775.3,7,At Risk,452.26,Medium Value,No
2446-ZKVAF,18,56.8,1074.65,6,At Risk,537.33,Medium Value,No
0841-NULXI,1,35.55,35.55,3,Inactive,8.89,Low Value,Yes
3522-CDKHF,32,75.5,2324.7,8,Loyal Customers,1549.8,High Value,No
1430-SFQSA,29,35.6,1072.6,6,At Risk,536.3,Medium Value,No
0411-EZJZE,3,60.25,170.5,5,Inactive,71.04,Low Value,No
7851-WZEKY,2,95.15,196.9,8,Loyal Customers,131.27,Low Value,Yes
8844-TONUD,13,96.65,1162.85,9,Loyal Customers,872.14,High Value,Yes
8807-ARQET,41,40.35,1677.85,7,At Risk,978.75,High Value,No
8992-CEUEN,1,18.85,18.85,3,Inactive,4.71,Low Value,No
4320-QMLLA,7,54.85,370.4,5,Inactive,154.33,Low Value,No
8777-PVYGU,52,64.3,3410.6,8,Loyal Customers,2273.73,High Value,No
8292-ITGYJ,45,24.65,1138.8,6,At Risk,569.4,Medium Value,No
6870-ZWMNX,70,76.1,5264.25,11,Champions,4825.56,Premium,No
0621-CXBKL,53,18.7,1005.7,5,Inactive,419.04,Medium Value,No
5268-DSMNQ,62,97.95,5936.55,11,Champions,5441.84,Premium,No
5334-JLAXU,60,94.1,5475.9,11,Champions,5019.58,Premium,No
4086-YQSNZ,3,80.4,224.05,6,At Risk,112.02,Low Value,Yes
6242-MBHPK,23,95.1,2326.05,9,Loyal Customers,1744.54,High Value,No
5868-CZJDR,1,31.35,31.35,3,Inactive,7.84,Low Value,Yes
9359-UGBTK,67,72.35,4991.5,10,Champions,4159.58,Premium,No
0135-NMXAP,12,89.75,1052.4,8,Loyal Customers,701.6,Medium Value,Yes
4782-OSFXZ,71,82.7,5831.2,11,Champions,5345.27,Premium,No
6479-OAUSD,25,19.9,510.8,4,Inactive,170.27,Medium Value,No
7129-ACFOG,5,53.8,283.95,5,Inactive,118.31,Low Value,No
4189-NAKJS,26,51.55,1295.4,6,At Risk,647.7,Medium Value,No
5562-BETPV,1,19.65,19.65,3,Inactive,4.91,Low Value,No
1282-IHQAC,70,44.05,3011.65,8,Loyal Customers,2007.77,High Value,No
9127-FHJBZ,72,114.0,8093.15,12,Champions,8093.15,Premium,No
6270-OMFIW,60,94.4,5610.25,11,Champions,5142.73,Premium,Yes
1641-RQDAY,32,100.4,3217.65,10,Champions,2681.38,High Value,No
0107-WESLM,1,19.85,19.85,3,Inactive,4.96,Low Value,Yes
6994-ORCWG,14,54.25,773.2,6,At Risk,386.6,Medium Value,No
1346-UFHAX,13,80.0,1029.35,7,At Risk,600.45,Medium Value,No
3992-YWPKO,6,109.9,669.45,9,Loyal Customers,502.09,Medium Value,Yes
2933-XEUJM,46,79.2,3593.8,10,Champions,2994.83,High Value,No
0125-LZQXK,15,101.35,1553.95,9,Loyal Customers,1165.46,High Value,Yes
5461-QKNTN,43,94.3,3953.15,10,Champions,3294.29,Premium,No
4835-YSJMR,39,49.8,1971.15,7,At Risk,1149.84,High Value,No
8399-YNDCH,21,60.05,1236.15,6,At Risk,618.08,Medium Value,Yes
3164-YAXFY,57,53.75,3196.0,9,Loyal Customers,2397.0,High Value,No
0887-WBJVH,53,93.45,4872.2,10,Champions,4060.17,Premium,No
4660-IRIBM,18,87.9,1500.5,8,Loyal Customers,1000.33,High Value,No
5673-FSSMF,1,60.15,60.15,5,Inactive,25.06,Low Value,Yes
7670-ZBPOQ,58,61.05,3478.75,9,Loyal Customers,2609.06,High Value,No
